Player,Position,PreVORP,RichVal
Connor McDavid,C,567.4247208940324,287.42472089403236
Leon Draisaitl,"C,LW",525.5752559700146,268.5752559700146
Nikita Kucherov,RW,437.1752077108916,185.17520771089158
David Pastrnak,RW,471.3030149020672,219.30301490206722
Erik Karlsson,D,285.50481750242835,55.878613126821264
Jason Robertson,LW,412.1956260149902,155.19562601499018
Tage Thompson,"C,RW",395.2409959290018,143.24099592900183
Mikko Rantanen,"C,RW",463.70643012697633,211.70643012697633
Matthew Tkachuk,RW,460.0545932812781,208.05459328127807
Jack Hughes,"C,LW",408.67760713161186,151.67760713161186
Kyle Connor,LW,402.05967269805365,145.05967269805365
Mitch Marner,RW,410.2888818515512,158.2888818515512
Ryan Nugent-Hopkins,"C,LW",320.7088011026451,47.78160082698383
Alex Ovechkin,LW,382.18162493790675,125.18162493790675
Kirill Kaprizov,LW,444.0855015480224,187.08550154802242
Sidney Crosby,C,389.82649839448914,83.74270502579796
Steven Stamkos,"C,LW",391.05567966306756,134.05567966306756
Elias Pettersson,"C,LW",382.86826972582526,125.86826972582526
William Nylander,"LW,RW",376.0305748766431,124.03057487664307
Zach Hyman,"LW,RW",339.8097059178809,65.85727943841066
Bo Horvat,C,344.5780492389519,48.43353692921393
Auston Matthews,C,460.9378025362,180.93780253620002
Pierre-Luc Dubois,C,317.5621792276144,28.171634420710816
Nathan MacKinnon,C,476.0021022456383,196.0021022456383
Josh Morrissey,D,285.44631732049385,55.834737990370385
Travis Konecny,RW,323.6977689549564,53.77332671621731
Rasmus Dahlin,D,372.0276508986628,161.02765089866278
Brayden Point,C,353.5495022107068,57.000864213297774
Alex Tuch,RW,305.14559649449814,40.523517327054826
Kevin Fiala,"LW,RW",345.99044145688487,70.49283109266365
Artemi Panarin,LW,339.72504550698216,63.07784719907389
Timo Meier,"LW,RW",352.7779643235099,75.58347324263241
Mika Zibanejad,C,396.0816517624767,88.5122594688885
Brady Tkachuk,LW,373.12253493097313,87.09190119822985
John Tavares,C,354.2791165757419,55.70933743180643
Jesper Bratt,RW,317.9789207973459,50.30892710797624
Adam Fox,D,372.05449598475695,161.05449598475695
Roope Hintz,C,352.87858317209043,54.65893737906782
Mats Zuccarello,RW,315.4810837474026,49.197839904237
Evgeni Malkin,C,326.55721035109605,35.499872892710734
Joe Pavelski,"C,RW",337.51601817115426,64.1370136283657
Nico Hischier,C,327.0753232815558,35.89493400218632
Jeff Skinner,LW,298.88964832071287,31.940856844543557
Cale Makar,D,400.6878467465086,189.68784674650863
Jordan Kyrou,"LW,RW",306.08015611036967,40.56011708277725
Tim Stutzle,"C,LW",345.6718247419845,66.50386855648837
Brad Marchand,LW,381.6394885508505,124.6394885508505
Tomas Hertl,C,285.8611173811441,4.395838035858063
Elias Lindholm,C,344.6017440885887,48.45130806644153
Johnny Gaudreau,LW,348.03069434715724,68.27302076036793
Mathew Barzal,C,286.62790987509396,4.970932406320472
Jamie Benn,"C,LW",275.59644415192065,13.947333113940488
J.T. Miller,"C,LW,RW",345.39767851314804,71.21572986627537
Dylan Larkin,C,289.6788664111681,7.501121468655268
Drake Batherson,RW,272.7079501913526,15.530962643514457
Dylan Cozens,C,268.79992163636217,-8.540059752273844
Kevin Hayes,"C,LW",246.98640598012497,-7.510195514906272
Chandler Stephenson,"C,LW,RW",275.0942888754301,17.32071665657257
Robert Thomas,C,242.42489623331153,-28.181327825016353
Quinn Hughes,D,292.50335403766866,62.14630745372235
Mark Scheifele,C,334.8501580476841,41.13761853576307
Filip Forsberg,LW,323.1737512561803,51.28465722353974
Jake Guentzel,LW,379.4260367974866,122.42603679748657
Andrei Kuzmenko,"LW,RW",220.40068621477317,-24.094476761235455
Martin Necas,RW,317.8953843681327,49.42153827609951
Alex DeBrincat,LW,359.08230396915053,76.5617279768629
Claude Giroux,"C,RW",285.1007911509959,24.825593363246938
Brock Nelson,C,297.12865541805877,12.846491563544078
Brandon Hagel,"LW,RW",257.16155981460264,4.000208856317046
Mark Stone,RW,298.34697750043904,34.76023312532928
Tyler Toffoli,"LW,RW",297.90435906017376,34.42826929513032
Clayton Keller,"LW,RW",274.0032452636539,16.502433947740442
Dougie Hamilton,D,339.2911216164264,128.29112161642638
Nick Suzuki,C,267.86029568788086,-9.104778234089352
Jakub Vrana,LW,243.27924469240705,-10.633585363384539
Pavel Buchnevich,"LW,RW",308.1858907742749,42.13941808070619
Sebastian Aho,C,402.19473786261005,122.19473786261005
Aleksander Barkov,C,412.0796061175585,132.0796061175585
Andre Burakovsky,"LW,RW",267.41778215998346,11.756058896987387
Brandon Montour,D,275.4217386589336,48.31630399420018
Evgeny Kuznetsov,C,275.3743003745182,-3.4692747191113398
