Player,Position,PreVORP,RichVal
Anders Lee,LW,283.5410016,26.54100157
Patrik Laine,"LW,RW",278.4537725,26.45377254
Bowen Byram,D,241.5961404,25.59614043
Jamie Benn,"C,LW",282.3112918,25.31129181
Cam Talbot,G,207.26617,25.26617005
Mathew Barzal,"C,RW",276.5396679,24.53966786
Teuvo Teravainen,"LW,RW",276.3877221,24.38772212
Anze Kopitar,C,303.0827783,23.08277829
Karel Vejmelka,G,204.5207738,22.52077381
Vince Dunn,D,238.4122449,22.41224495
Brock Nelson,C,302.3883606,22.38836058
Gustav Forsling,D,238.2368209,22.23682086
Nazem Kadri,C,301.0404051,21.04040511
Pierre-Luc Dubois,C,300.978319,20.97831901
Bryan Rust,RW,272.7332253,20.73322532
Jack Campbell,G,202.006918,20.00691798
Thomas Chabot,D,235.6420157,19.64201574
Philipp Grubauer,G,201.0714017,19.07140174
Drake Batherson,RW,269.8974635,17.89746351
Jared McCann,"C,LW",274.787562,17.78756203
Matt Duchene,RW,268.9357885,16.93578847
Jeremy Swayman,G,198.414921,16.41492098
Seth Jones,D,232.2579265,16.25792647
Noah Hanifin,D,232.2477786,16.24777859
Chandler Stephenson,"C,LW,RW",267.6536856,15.65368556
Viktor Arvidsson,"LW,RW",266.95044,14.95043996
Mark Stone,RW,266.9420325,14.9420325
Cole Caufield,"LW,RW",266.2115664,14.21156636
Vincent Trocheck,C,293.0313318,13.03133178
Jared Spurgeon,D,228.2896644,12.28966442
Joel Eriksson Ek,C,291.8567005,11.85670046
Filip Gustavsson,G,193.2676276,11.2676276
Michael Bunting,LW,268.1051965,11.10519647
Logan Thompson,G,191.0162804,9.016280385
Owen Power,D,223.5353872,7.535387226
Jeff Petry,D,223.5287012,7.528701169
Dawson Mercer,"C,RW",258.979517,6.979516992
Artturi Lehkonen,"LW,RW",258.9746099,6.974609903
Brock Boeser,RW,257.680477,5.680476958
Jakub Vrana,LW,261.1076134,4.107613421
Torey Krug,D,219.5958724,3.59587242
Shayne Gostisbehere,D,218.0930384,2.09303838
Nick Schmaltz,"C,RW",252.7679823,0.767982322
Blake Wheeler,RW,252.2669258,0.266925781
Alex Killorn,"LW,RW",251.5899701,-0.410029852
Dmitry Orlov,D,215.5270712,-0.472928848
Evan Bouchard,D,214.5060302,-1.493969828
Mark Giordano,D,212.5696448,-3.430355161
Nick Suzuki,C,276.3872129,-3.612787062
Jake Allen,G,178.1424671,-3.857532873
Brandon Hagel,"LW,RW",247.6906073,-4.309392726
Dylan Cozens,C,275.1009137,-4.899086317
Brady Skjei,D,210.1972846,-5.802715406
James Reimer,G,176.0341428,-5.965857243
Tomas Hertl,C,273.9091618,-6.090838225
Rickard Rakell,"LW,RW",245.810068,-6.189932047
Lucas Raymond,RW,244.5726093,-7.427390735
Jonathan Quick,G,173.7766489,-8.223351138
Jaccob Slavin,D,206.8748203,-9.125179739
Andrew Mangiapane,"LW,RW",242.2442715,-9.75572852
Ivan Provorov,D,205.7882254,-10.21177458
Matty Beniers,C,269.3903005,-10.60969945
Dominik Kubalik,"LW,RW",241.0805079,-10.91949214
Brett Pesce,D,204.6243191,-11.37568086
Neal Pionk,D,204.6038468,-11.39615316
Robert Thomas,"C,RW",239.976609,-12.02339102
John Klingberg,D,203.9598271,-12.0401729
Ryan Graves,D,203.1734978,-12.82650219
Andre Burakovsky,"LW,RW",238.7350684,-13.26493157
Martin Jones,G,167.8928083,-14.10719165
Sam Bennett,C,264.4324094,-15.56759065
Reilly Smith,"LW,RW",236.0363098,-15.96369024
Oliver Bjorkstrand,RW,235.9973534,-16.00264663
Brayden Schenn,"C,LW",240.7308104,-16.26918961
Colton Parayko,D,199.5943821,-16.40561788
Jake Sanderson,D,199.4668085,-16.53319154
Alex Iafallo,LW,238.7113115,-18.28868846
Mattias Ekholm,D,197.6377918,-18.36220823
Elvis Merzlikins,G,162.4532659,-19.54673406
Dylan Strome,"C,RW",231.2962379,-20.70376208
Matt Murray,G,161.1032479,-20.89675212
Evan Rodrigues,"C,LW,RW",231.0741461,-20.9258539
Filip Hronek,D,194.8861744,-21.11382559
Tom Wilson,RW,230.6556892,-21.34431081
Logan Couture,C,258.4080925,-21.59190746
Anton Lundell,"C,LW",235.2035936,-21.79640644
Jordan Eberle,RW,229.8631521,-22.13684794
Semyon Varlamov,G,159.743965,-22.25603501
Josh Norris,C,256.6164508,-23.38354924
Kirby Dach,"C,RW",228.606315,-23.393685
Tyler Seguin,"C,RW",228.0505548,-23.94944517
Andrei Kuzmenko,"LW,RW",227.9052986,-24.09470139
Evgeny Kuznetsov,C,255.3980191,-24.60198094
Frank Vatrano,"LW,RW",227.2469615,-24.75303848
Pheonix Copley,G,157.1096456,-24.89035443
Esa Lindell,D,190.5759191,-25.42408093
Adam Larsson,D,189.9405492,-26.05945079
Casey DeSmith,G,155.1757329,-26.82426712
William Karlsson,"C,LW",228.6393982,-28.36060177
Mikael Backlund,C,251.4329259,-28.56707413
Conor Garland,"LW,RW",223.2881948,-28.71180517
Damon Severson,D,187.1803242,-28.81967585
Andrew Copp,"C,RW",222.6043919,-29.39560806
Nino Niederreiter,LW,227.360916,-29.63908399
Trevor Moore,"LW,RW",222.151213,-29.84878698
Cam Fowler,D,185.9182618,-30.08173819
Ryan Pulock,D,185.5560764,-30.44392358
Matt Grzelcyk,D,184.9472194,-31.0527806
Anthony Duclair,RW,220.0571865,-31.94281347
Craig Anderson,G,149.8916276,-32.10837236
Blake Coleman,"LW,RW",219.3294117,-32.67058835
Max Domi,"C,LW,RW",218.7094459,-33.29055407
Ryan Ellis,D,182.6826107,-33.31738934
Boone Jenner,C,246.4487717,-33.55122833
Taylor Hall,LW,223.3247581,-33.67524187
Aaron Dell,G,145.418,-36.582
Jonas Johansson,G,145.418,-36.582
Keith Kinkaid,G,145.418,-36.582
Daniil Tarasov,G,145.418,-36.582
Dustin Tokarski,G,145.418,-36.582
Kevin Hayes,"C,LW",220.2303214,-36.76967859
Anton Forsberg,G,144.8996545,-37.10034549
Ukko-Pekka Luukkonen,G,143.6003377,-38.39966234
T.J. Oshie,"C,RW",213.1761593,-38.82384065
Alex Nedeljkovic,G,142.7930323,-39.20696769
Petr Mrazek,G,142.2150183,-39.78498169
MacKenzie Blackwood,G,140.7938088,-41.20619119
Seth Jarvis,"LW,RW",210.3597162,-41.64028377
Phillip Danault,C,237.409417,-42.59058304
Sam Montembeault,G,139.3013631,-42.69863687
Ryan Lindgren,D,173.2680971,-42.73190291
Kaapo Kahkonen,G,139.241056,-42.75894404
Justin Schultz,D,173.2099237,-42.79007629
Erik Gustafsson,D,172.6689852,-43.33101475
James van Riemsdyk,"LW,RW",208.2577193,-43.7422807
Pavel Zacha,"C,LW,RW",208.0914517,-43.90854835
Frederick Gaudreau,"C,LW,RW",207.6394374,-44.36056259
Matt Roy,D,171.1529315,-44.8470685
Owen Tippett,"LW,RW",207.0674678,-44.9325322
Alexis Lafreniere,"LW,RW",207.0058056,-44.99419436
Robin Lehner,G,136.54315,-45.45685
