Player,Id
Jonas Siegenthaler,8478399
Miles Wood,8477425
Jonatan Berggren,8481013
Noah Cates,8480220
Juuso Parssinen,8481704
John-Jason Peterka,NOT FOUND
Noel Acciari,8478569
Connor Clifton,8477365
Alexander Romanov,8481014
Jake Muzzin,8474162
Arber Xhekaj,8482964
