Player,Position,PreVORP,RichVal
Connor McDavid,C,552.844233533116,272.84423353311604
Leon Draisaitl,"C,LW",467.0538609633907,210.05386096339072
Nikita Kucherov,RW,343.7021208488835,91.70212084888351
David Pastrnak,RW,470.2230067017469,218.2230067017469
Erik Karlsson,D,289.00017364033647,73.00017364033647
Jason Robertson,LW,383.37754836855225,126.37754836855225
Tage Thompson,"C,RW",388.68777159196827,136.68777159196827
Mikko Rantanen,"C,RW",419.4002046003117,167.40020460031172
Matthew Tkachuk,RW,456.793748632545,204.79374863254498
Jack Hughes,"C,LW",362.7129729148052,105.71297291480522
Kyle Connor,LW,380.53164754658644,123.53164754658644
Mitch Marner,RW,380.43612008930694,128.43612008930694
Ryan Nugent-Hopkins,"C,LW",321.63720191176657,64.63720191176657
Alex Ovechkin,LW,364.81588723244823,107.81588723244823
Kirill Kaprizov,LW,431.1045884930815,174.1045884930815
Sidney Crosby,C,360.5588470267824,80.55884702678242
Steven Stamkos,"C,LW",377.49651371179533,120.49651371179533
Elias Pettersson,"C,LW",320.6223794313265,63.62237943132652
William Nylander,"LW,RW",368.49516184529034,116.49516184529034
Zach Hyman,"LW,RW",318.64202752059987,66.64202752059987
Bo Horvat,C,339.09831713087,59.09831713086999
Auston Matthews,C,476.4100202797749,196.41002027977493
Pierre-Luc Dubois,C,313.9583083063742,33.95830830637419
Nathan MacKinnon,C,477.05757807150934,197.05757807150934
Josh Morrissey,D,276.67881178617455,60.67881178617455
Travis Konecny,"C,RW",313.74311187908023,61.74311187908023
Rasmus Dahlin,D,367.62723530138777,151.62723530138777
Brayden Point,C,351.45056574408244,71.45056574408244
Alex Tuch,RW,295.0332513651495,43.03325136514951
Kevin Fiala,"LW,RW",323.24963112679114,71.24963112679114
Artemi Panarin,LW,347.08804283368437,90.08804283368437
Timo Meier,"LW,RW",332.26032498840215,80.26032498840215
Mika Zibanejad,C,385.83945470130726,105.83945470130726
Brady Tkachuk,LW,365.45796654219873,108.45796654219873
John Tavares,C,343.7784593792497,63.77845937924968
Jesper Bratt,RW,313.4564262596703,61.45642625967031
Adam Fox,D,344.4569166662627,128.4569166662627
Roope Hintz,C,322.8529956461668,42.85299564616679
Mats Zuccarello,RW,324.0740084822114,72.07400848221141
Evgeni Malkin,C,193.29901826363928,-86.70098173636072
Joe Pavelski,"C,RW",283.0238617367035,31.02386173670351
Nico Hischier,C,276.06192703983953,-3.9380729601604685
Jeff Skinner,LW,278.66033403675476,21.66033403675476
Cale Makar,D,354.09448781782044,138.09448781782044
Jordan Kyrou,"LW,RW",301.0466233254587,49.04662332545871
Tim Stutzle,"C,LW",356.61606466642945,99.61606466642945
Brad Marchand,LW,311.0237923308066,54.0237923308066
Tomas Hertl,C,255.42555107937045,-24.57444892062955
Elias Lindholm,C,304.7738717678786,24.773871767878575
Johnny Gaudreau,LW,309.59258902303884,52.59258902303884
Mathew Barzal,"C,RW",269.3432542164605,17.34325421646048
Jamie Benn,"C,LW",245.30159821627103,-11.698401783728968
J.T. Miller,"C,LW,RW",333.7343461690245,81.73434616902449
Dylan Larkin,C,322.70561162385286,42.70561162385286
Drake Batherson,RW,214.30555703909548,-37.694442960904524
Dylan Cozens,C,277.76432527005755,-2.2356747299424455
Kevin Hayes,"C,LW",196.80889415042324,-60.19110584957676
Chandler Stephenson,"C,LW,RW",255.78505388426393,3.785053884263931
Robert Thomas,"C,RW",205.25709592709418,-46.742904072905816
Quinn Hughes,D,293.0119036783355,77.0119036783355
Mark Scheifele,C,322.611098574143,42.611098574143
Filip Forsberg,LW,299.2398969348346,42.239896934834576
Jake Guentzel,LW,337.6791144410798,80.67911444107978
Andrei Kuzmenko,"LW,RW",223.05218400726662,-28.947815992733382
Martin Necas,RW,309.5886045368153,57.588604536815296
Alex DeBrincat,LW,332.7327017452779,75.7327017452779
Claude Giroux,"C,RW",276.85109210768906,24.851092107689055
Brock Nelson,C,310.5507938171933,30.550793817193323
Brandon Hagel,"LW,RW",264.17887878861933,12.178878788619329
Mark Stone,RW,192.8940282673732,-59.10597173262681
Tyler Toffoli,"LW,RW",290.02310573656143,38.02310573656143
Clayton Keller,"LW,RW",277.8517588364961,25.851758836496117
Dougie Hamilton,D,331.49668998965325,115.49668998965325
Nick Suzuki,C,265.7598488437888,-14.240151156211198
