Player,RichVal
Connor McDavid,278.4965714
Auston Matthews,273.7304
Leon Draisaitl,264.2454286
Andrei Vasilevskiy,205.1122857
Nathan MacKinnon,202.6361429
Kirill Kaprizov,201.2157143
Igor Shesterkin,175.9957143
David Pastrnak,174.9151429
Connor Hellebuyck,172.7882857
Cale Makar,171.8678
Matthew Tkachuk,171.07345
Jonathan Huberdeau,168.8711429
Nikita Kucherov,161.6971429
Thatcher Demko,156.5542857
Mitchell Marner,153.0182857
Mikko Rantanen,152.5868571
Roman Josi,150.4511429
Kyle Connor,149.8434286
Juuse Saros,148.8774286
Victor Hedman,145.0416
Johnny Gaudreau,140.9234286
Brad Marchand,136.4545857
Aleksander Barkov,133.8925714
Andrei Svechnikov,133.7362857
Brady Tkachuk,133.5190357
Jacob Markstrom,132.1901971
Sebastian Aho,130.134
Alex Ovechkin,128.7452114
Artemi Panarin,128.61828
Adam Fox,124.6319
J.T. Miller,123.8338571
Mika Zibanejad,122.1514286
Jake Oettinger,121.603
Vladimir Tarasenko,119.168
Patrick Kane,117.7512571
Marc-Andre Fleury,116.4763
Jason Robertson,114.9625
Tristan Jarry,114.1565714
Alex DeBrincat,112.5664
Moritz Seider,112.2733333
Steven Stamkos,110.4448714
Jake Guentzel,108.3362857
Ilya Sorokin,106.7157143
Elias Lindholm,106.412
Jack Campbell,104.3728429
John Carlson,101.1344714
Sergei Bobrovsky,98.59882
Kevin Fiala,94.19528571
Jack Eichel,93.87314286
Logan Thompson,91.8
Darcy Kuemper,91.69546857
Evander Kane,91.6762
Noah Dobson,91.11666667
Kris Letang,90.92875714
Jordan Binnington,88.07885714
Patrik Laine,84.886
Frederik Andersen,84.51580571
Elias Pettersson,83.866
Gabriel Landeskog,82.22628571
William Nylander,78.98857143
Patrice Bergeron,76.70857143
Shea Theodore,76.44971429
Filip Forsberg,75.12257143
Timo Meier,75.008
Alex Pietrangelo,73.09991143
Chris Kreider,72.84296
Darnell Nurse,71.04671429
Quinn Hughes,70.9612619
Evan Bouchard,70.62
Pavel Buchnevich,67.314
Elvis Merzlikins,66.642
Matt Duchene,66.21866286
Philipp Grubauer,65.54447714
Sidney Crosby,64.92631429
Teuvo Teravainen,64.16685714
Sam Reinhart,63.75514286
Mark Stone,62.99578857
Jonathan Marchessault,62.37502429
Carter Hart,61.792
Mark Scheifele,60.39485714
John Tavares,60.07664
Nikolaj Ehlers,59.37157143
Morgan Rielly,59.02971429
Aaron Ekblad,58.489
Bryan Rust,58.24067714
Karel Vejmelka,56.59
Alex Nedeljkovic,56.06
Joe Pavelski,56.01177143
John Gibson,54.96057143
Dougie Hamilton,54.54242857
Cam Talbot,53.55118857
Devon Toews,52.86628571
Brent Burns,52.41494286
David Perron,50.53322571
Jordan Kyrou,49.243
Michael Bunting,48.08
Matt Boldy,47.98
Charlie McAvoy,47.7356
MacKenzie Weegar,44.60414286
Linus Ullmark,43.48571429
Tony DeAngelo,42.10857143
Brayden Point,41.12185714
Vitek Vanecek,40.81285714
Nazem Kadri,40.05096286
Roope Hintz,38.80428571
Trevor Zegras,36.43666667
Alexandar Georgiev,35.448
Tage Thompson,35.237
Anze Kopitar,34.80039429
Justin Faulk,33.44664714
Ville Husso,33.04
Rasmus Dahlin,31.1302619
Pierre-Luc Dubois,30.7139
Troy Terry,30.226
Clayton Keller,29.7607
Jack Hughes,29.7502381
Jacob Trouba,28.29828571
Claude Giroux,28.09019714
Ilya Samsonov,27.886
Tim Stuetzle,27.40214286
Miro Heiskanen,26.9249
Mikhail Sergachev,26.2907
Jeremy Swayman,25.594
Jonathan Quick,25.47417143
Torey Krug,23.98451
Tyler Seguin,23.92925714
Sam Bennett,23.60428571
Ryan Nugent-Hopkins,23.46028571
Anton Lundell,23.34666667
Taylor Hall,23.22833714
Tyson Barrie,22.59836857
Bo Horvat,22.32157143
Josh Norris,21.97775
Lucas Raymond,21.75
Anton Forsberg,20.6
Jaccob Slavin,19.566
Brock Boeser,18.64085714
Blake Wheeler,18.41597143
Ryan Strome,18.05528571
Jesper Bratt,16.639
Evgeny Kuznetsov,16.07655714
Seth Jones,15.93057143
Tyler Toffoli,15.31198
Pavel Francouz,14.58157714
Jake Allen,14.19274571
Zach Werenski,13.67071429
Carter Verhaeghe,13.37071429
Ondrej Palat,13.05311714
Sean Couturier,10.87371429
Rasmus Andersson,10.78657143
Robert Thomas,10.7024
Cal Petersen,9.59
Andrew Mangiapane,8.842857143
Alex Tuch,8.764285714
Neal Pionk,8.307714286
Thomas Chabot,7.892857143
James Reimer,7.063522857
Dylan Larkin,6.522285714
Drake Batherson,5.284
Travis Konecny,5.206
Drew Doughty,4.959628571
Mats Zuccarello,4.149765714
Tyler Bertuzzi,3.457714286
Conor Garland,3.296857143
Nick Suzuki,2.1413
Noah Hanifin,2.094285714
Ryan Hartman,1.744428571
Zach Hyman,1.649414286
Tomas Hertl,1.647
Vincent Trocheck,1.388
Jakub Vrana,1.306285714
Mathew Barzal,1.128857143
Brock Nelson,1.035345714
Andre Burakovsky,0.672285714
Brayden Schenn,0.373304286
Jeff Skinner,-0.752857143
Alex Killorn,-2.542121429
Cole Caufield,-2.766666667
Matt Murray,-2.768
Chandler Stephenson,-3.181857143
Josh Morrissey,-3.361857143
Jared Spurgeon,-3.483528571
Adrian Kempe,-4.873142857
Reilly Smith,-5.177591429
Jamie Benn,-5.462375714
Oliver Bjorkstrand,-6.559
Andrew Copp,-7.256
Tanner Jeannot,-8.16
Joel Eriksson Ek,-9.452285714
Evgeni Malkin,-11.13367143
Gustav Forsling,-12.59428571
Nino Niederreiter,-13.97814286
Jakub Voracek,-14.46134286
Anders Lee,-15.64433143
Valeri Nichushkin,-16.876
Connor Brown,-17.17342857
Blake Coleman,-17.66081857
Damon Severson,-18.83071429
Cam Atkinson,-18.86029714
Nick Schmaltz,-18.97285714
Dawson Mercer,-19.86666667
Nico Hischier,-20.3914
Yegor Sharangovich,-22.3505
Jared McCann,-23.16057143
Phillip Danault,-23.83828571
Logan Couture,-24.77575857
Dylan Strome,-25.016
Viktor Arvidsson,-25.02528571
Alex Iafallo,-26.44257143
Mike Hoffman,-27.62119429
Trevor Moore,-28.52571429
William Karlsson,-29.07457143
Craig Smith,-30.77328286
Anthony Cirelli,-31.60142857
Victor Olofsson,-34
Nicolas Roy,-34.3
Jake DeBrusk,-34.648
Rickard Rakell,-34.72228571
Gustav Nyquist,-37.08673143
Mason Marchment,-37.54
Jean-Gabriel Pageau,-37.68114286
Frank Vatrano,-38.72
Kailer Yamamoto,-41.612
Brandon Saad,-42.10628571
Yanni Gourde,-42.47374
Jesse Puljujarvi,-42.7865
Mikael Backlund,-43.50465714
Kyle Palmieri,-43.52396857
Evan Rodrigues,-44.48
Cole Sillinger,-45.09166667
James van Riemsdyk,-45.7771
Tanner Pearson,-45.88016857
Paul Stastny,-46.08011429
Brendan Gallagher,-46.20262571
Mikael Granlund,-47.09166571
Anthony Mantha,-47.28214286
Jack Drury,-47.97
Ryan Johansen,-48.35264286
Boone Jenner,-48.62628571
Jeff Carter,-50.9783
Kevin Hayes,-51.67197143
Ilya Mikheyev,-53.12428571
Marcus Foligno,-55.01295286
Jordan Greenway,-55.62357143
Dylan Cozens,-56.12833333
Denis Gurianov,-56.29557143
Jack Roslovic,-64.39971429
Corey Perry,-68.09167857
