Player,Position,PreVORP,RichVal
Connor McDavid,C,611.633837,331.633837
Leon Draisaitl,"C,LW",514.1723064,257.1723064
Auston Matthews,C,514.6492358,234.6492358
Nathan MacKinnon,C,492.3408466,212.3408466
Matthew Tkachuk,RW,461.4845605,209.4845605
Mikko Rantanen,"C,RW",459.7185119,207.7185119
David Pastrnak,RW,457.590627,205.590627
Cale Makar,D,406.2277113,190.2277113
Nikita Kucherov,RW,423.782475,171.782475
Mitch Marner,RW,419.6085253,167.6085253
Roman Josi,D,383.2971837,167.2971837
Andrei Vasilevskiy,G,348.5126802,166.5126802
Kirill Kaprizov,LW,417.8588253,160.8588253
Juuse Saros,G,340.5214173,158.5214173
Connor Hellebuyck,G,337.3563427,155.3563427
Rasmus Dahlin,D,366.9957117,150.9957117
Jason Robertson,LW,399.731626,142.731626
Adam Fox,D,358.1724027,142.1724027
Elias Pettersson,"C,LW",396.8602573,139.8602573
Jack Hughes,"C,LW",395.2582107,138.2582107
Tage Thompson,"C,RW",383.6051422,131.6051422
Kyle Connor,LW,386.3943333,129.3943333
Aleksander Barkov,C,407.9139679,127.9139679
Victor Hedman,D,341.0045173,125.0045173
William Nylander,"LW,RW",376.2527496,124.2527496
Igor Shesterkin,G,303.8484461,121.8484461
Jake Guentzel,LW,377.8854652,90.66409888
Mika Zibanejad,C,400.7556254,90.56671906
Dougie Hamilton,D,334.7595747,89.06968105
Brad Marchand,LW,371.6129469,85.9597102
Sidney Crosby,C,392.1042599,84.07819492
Brady Tkachuk,LW,368.942033,83.95652472
J.T. Miller,"C,LW,RW",362.2438509,82.6828882
Alexandar Georgiev,G,291.6746194,82.25596453
Sebastian Aho,C,389.2561037,81.9420778
Andrei Svechnikov,LW,364.4487416,80.58655617
Charlie McAvoy,D,319.5018638,77.62639783
Linus Ullmark,G,285.1674957,77.37562178
Jake Oettinger,G,284.2019208,76.6514406
Alex Ovechkin,LW,355.9732055,74.22990411
Alex DeBrincat,LW,354.0520176,72.78901323
John Tavares,"C,LW",353.6699877,72.50249078
Ilya Sorokin,G,276.9111371,71.18335282
Aaron Ekblad,D,309.9405724,70.45542928
Kris Letang,D,309.6561352,70.24210141
Artemi Panarin,LW,350.01737,69.76302753
Timo Meier,"LW,RW",344.7578896,69.56841722
Pavel Buchnevich,"LW,RW",342.3705938,67.77794533
Kevin Fiala,"LW,RW",341.9799495,67.48496212
Johnny Gaudreau,LW,346.937361,67.45302076
Shea Theodore,D,303.3146259,65.48596939
Tristan Jarry,G,269.3041836,65.47813772
Tim Stutzle,"C,LW",344.14307,65.35730249
Steven Stamkos,"C,LW",340.9943331,62.99574981
Jacob Markstrom,G,263.3773513,61.03301344
Jakob Chychrun,D,297.1908786,60.89315892
Quinn Hughes,D,296.2479569,60.18596768
Joe Pavelski,"C,RW",331.8390456,59.87928422
Patrice Bergeron,C,359.2801942,59.46014562
Chris Kreider,"LW,RW",337.7781114,59.33358357
Marc-Andre Fleury,G,260.8712351,59.15342631
Evander Kane,LW,334.8063321,58.35474904
Darcy Kuemper,G,258.921947,57.69146027
Darnell Nurse,D,292.437855,57.32839128
Brayden Point,C,355.4810866,56.61081498
Brent Burns,D,291.0927849,56.31958869
Jack Eichel,C,352.7044017,54.52830128
Sergei Bobrovsky,G,254.4645797,54.34843475
Jonathan Huberdeau,"LW,RW",324.1414022,54.10605162
Roope Hintz,C,351.8789825,53.90923689
Noah Dobson,D,286.1370806,52.60281048
Mikhail Sergachev,D,283.4336802,50.57526016
Alex Pietrangelo,D,289.668789,50.25159178
Brandon Montour,D,282.9960156,50.24701169
Patrick Kane,RW,318.4255983,49.81919875
Ryan Nugent-Hopkins,"C,LW",320.066307,47.29973024
Josh Morrissey,D,278.5254348,46.8940761
Jordan Binnington,G,244.3318164,46.74886228
Erik Karlsson,D,278.1936332,46.64522489
Zach Hyman,"LW,RW",314.152685,46.61451374
Martin Necas,RW,313.9805354,46.48540155
Ville Husso,G,243.9193977,46.43954826
Miro Heiskanen,D,277.599508,46.19963098
Matt Boldy,"LW,RW",313.5146166,46.13596243
Moritz Seider,D,277.4364668,46.07735009
Vitek Vanecek,G,242.8035622,45.60267166
Elias Lindholm,C,339.5787483,44.68406124
Devon Toews,D,275.2346905,44.42601784
Alex Tuch,RW,308.6989145,42.52418586
Jonathan Marchessault,"LW,RW",308.2127403,42.15955521
Jordan Kyrou,"LW,RW",306.7920901,41.09406759
Carter Hart,G,235.9990532,40.49928987
Mats Zuccarello,RW,305.9791168,40.48433757
Clayton Keller,"LW,RW",304.069018,39.05176348
John Carlson,D,267.9792821,38.98446155
Sam Reinhart,"C,RW",303.6939996,38.77049973
Morgan Rielly,D,267.2205948,38.41544611
John Gibson,G,232.4542565,37.8406924
Evgeni Malkin,C,330.3573387,37.76800402
Bo Horvat,C,330.2440188,37.68301409
Nico Hischier,C,330.0895091,37.56713185
Jesper Bratt,RW,300.6750111,36.50625833
Adrian Kempe,"C,LW,RW",298.8289943,35.1217457
Mark Scheifele,C,326.3088006,34.73160044
Rasmus Andersson,D,261.5096971,34.13227285
Tyler Toffoli,"LW,RW",297.3924475,34.04433565
Frederik Andersen,G,226.9570122,33.71775912
Valeri Nichushkin,"LW,RW",296.5526089,33.41445664
Trevor Zegras,"C,LW",299.5820292,31.93652193
Tyson Barrie,D,257.7155802,31.28668511
Carter Verhaeghe,LW,297.7220946,30.54157094
Drew Doughty,D,255.3977866,29.54833995
Claude Giroux,"C,RW",291.2609249,29.44569366
Jeff Skinner,LW,295.1588001,28.61910011
Patrik Laine,"LW,RW",289.1081488,27.83111157
Anders Lee,LW,291.6551355,25.99135162
Stuart Skinner,G,216.473979,25.85548428
Justin Faulk,D,250.4440577,25.83304326
Travis Konecny,"C,RW",286.3622878,25.77171582
Hampus Lindholm,D,250.089854,25.56739048
Thatcher Demko,G,215.9102019,25.43265142
Jacob Trouba,D,249.2193848,24.91453857
Karel Vejmelka,G,214.887088,24.66531602
Matt Duchene,RW,284.7181913,24.53864349
Seth Jones,D,247.21933,23.41449749
Filip Forsberg,LW,287.2653941,22.69904558
Troy Terry,RW,282.1135078,22.58513086
Vladimir Tarasenko,RW,281.7704376,22.32782821
David Perron,RW,281.3213285,21.99099637
Jake DeBrusk,"LW,RW",280.9873716,21.74052867
Teuvo Teravainen,"LW,RW",280.7659364,21.5744523
Ilya Samsonov,G,210.6392994,21.47947457
Jamie Benn,"C,LW",285.491754,21.36881547
Nazem Kadri,C,307.8222386,20.86667896
Gabriel Landeskog,"C,LW",284.7189938,20.78924535
Ryan Hartman,"C,RW",278.9870787,20.24030906
Anze Kopitar,C,306.5544739,19.91585542
Thomas Chabot,D,242.1162328,19.58717461
MacKenzie Weegar,D,241.5243376,19.14325318
Mathew Barzal,"C,RW",276.5396679,18.4047509
Tony DeAngelo,D,240.1109157,18.08318679
Cam Talbot,G,205.7056292,17.77922194
Brock Nelson,C,301.0980588,15.82354407
Jared Spurgeon,D,235.5346815,14.65101113
Dylan Larkin,C,299.4704766,14.60285749
Vince Dunn,D,234.1248971,13.5936728
Drake Batherson,RW,269.1500412,12.86253088
Pierre-Luc Dubois,C,297.1367683,12.85257625
Bowen Byram,D,232.8094689,12.60710166
Noah Hanifin,D,232.434185,12.32563877
Philipp Grubauer,G,197.7334839,11.80011296
Michael Bunting,LW,272.3103247,11.48274351
Gustav Forsling,D,230.9914477,11.2435858
Mark Stone,RW,266.9420325,11.20652438
Jack Campbell,G,196.4482338,10.83617538
Vincent Trocheck,C,294.2304249,10.67281869
Cole Caufield,"LW,RW",266.2115664,10.65867477
Chandler Stephenson,"C,LW,RW",266.0582104,10.54365783
Bryan Rust,RW,265.4667638,10.10007283
Joel Eriksson Ek,C,292.9287346,9.696550966
Dawson Mercer,"C,RW",262.2758944,7.706920813
Viktor Arvidsson,"LW,RW",261.6990629,7.274297154
Shayne Gostisbehere,D,225.0868221,6.815116575
Jake Allen,G,190.6565212,6.492390902
Filip Gustavsson,G,189.9836108,5.987708072
Jared McCann,"C,LW",264.0564954,5.292371521
Artturi Lehkonen,"LW,RW",258.9746099,5.230957427
Logan Thompson,G,188.9230808,5.192310637
Blake Wheeler,RW,258.5003922,4.875294114
Dmitry Orlov,D,221.1769613,3.882720946
Jeff Petry,D,220.4127392,3.309554402
Owen Power,D,219.3936862,2.545264634
Robert Thomas,"C,RW",254.7841479,2.088110949
Brandon Hagel,"LW,RW",253.7544516,1.315838673
Dylan Cozens,C,281.5244873,1.143365482
Nick Schmaltz,"C,RW",252.427076,0.320307007
Tomas Hertl,C,279.9309054,-0.051820976
Alex Killorn,"LW,RW",251.6910933,-0.231680021
Mark Giordano,D,215.4353683,-0.423473787
Brock Boeser,RW,250.9104277,-0.817179227
Jeremy Swayman,G,179.8297834,-1.627662413
Sam Bennett,C,276.9181586,-2.311381087
Jaccob Slavin,D,212.5054869,-2.620884804
Jonathan Quick,G,178.2659504,-2.800537181
Lucas Raymond,RW,245.9988136,-4.500889782
Rickard Rakell,"LW,RW",245.9587927,-4.530905487
Ivan Provorov,D,209.1975174,-5.10186193
Evan Bouchard,D,208.5579834,-5.581512441
Torey Krug,D,208.481537,-5.638847241
Martin Jones,G,174.3671242,-5.724656886
Brady Skjei,D,207.9179959,-6.061503088
Brett Pesce,D,207.8813821,-6.088963444
James Reimer,G,173.4282001,-6.428849946
Nick Suzuki,C,270.5762643,-7.067801764
Dominik Kubalik,"LW,RW",242.3300317,-7.252476247
Filip Hronek,D,205.7817147,-7.663714009
Matt Murray,G,170.0181704,-8.98637221
Sean Durzi,D,203.784511,-9.16161677
Elvis Merzlikins,G,168.9467485,-9.78993866
Andre Burakovsky,"LW,RW",238.7350684,-9.948698679
John Klingberg,D,202.15489,-10.38383253
Neal Pionk,D,202.0597443,-10.45519179
Reilly Smith,"LW,RW",237.8929441,-10.58029191
Colton Parayko,D,201.6399293,-10.77005301
Jake Sanderson,D,200.4688241,-11.64838189
Matty Beniers,C,264.2775697,-11.79182271
Ryan Graves,D,200.0499452,-11.96254112
Andrew Mangiapane,"LW,RW",235.3044949,-12.52162885
Evgeny Kuznetsov,C,263.2280574,-12.57895692
Oliver Bjorkstrand,RW,234.3214317,-13.25892624
Jakub Vrana,LW,238.4136598,-13.93975515
Semyon Varlamov,G,163.3799933,-13.96500501
Craig Anderson,G,163.0050474,-14.24621447
Evan Rodrigues,"C,LW,RW",231.1045165,-15.67161265
Esa Lindell,D,194.7934153,-15.90493853
Anton Lundell,"C,LW",235.6876763,-15.98424276
Max Domi,"C,LW,RW",230.090052,-16.432461
Logan Couture,C,258.0214434,-16.48391747
Casey DeSmith,G,159.5081958,-16.86885313
T.J. Oshie,"C,RW",229.4791429,-16.89064285
Josh Norris,C,256.6164508,-17.53766193
Andrei Kuzmenko,"LW,RW",227.8345214,-18.12410896
Boone Jenner,C,255.738693,-18.19598027
Dylan Strome,"C,RW",227.4243248,-18.43175643
Jordan Eberle,RW,226.5921648,-19.05587637
Mattias Ekholm,D,190.3290498,-19.25321267
Kirby Dach,"C,RW",225.6474794,-19.76439043
Conor Garland,"LW,RW",225.5976294,-19.80177796
Cam Fowler,D,189.4102756,-19.94229331
Nino Niederreiter,LW,229.6674153,-20.4994385
Andrew Copp,"C,RW",224.6347785,-20.52391615
Trevor Moore,"LW,RW",224.0665612,-20.95007912
Alex Iafallo,LW,228.8214257,-21.13393072
Pheonix Copley,G,153.7685882,-21.17355882
Frank Vatrano,"LW,RW",223.5352655,-21.34855091
Matt Grzelcyk,D,187.1862429,-21.61031784
Seth Jarvis,"LW,RW",222.7596017,-21.93029874
William Karlsson,"C,LW",227.7308651,-21.95185118
Anton Forsberg,G,152.6229298,-22.03280266
Mikael Backlund,C,250.2637268,-22.30220492
