Player,Position,PreVORP,RichVal
Frank Vatrano,"LW,RW",206.6414516096238,-38.3585483903762
Josh Bailey,"LW,RW",168.5405453269781,-76.4594546730219
Philipp Kurashev,"LW,RW",135.68131929499756,-109.31868070500244
Alexis Lafreniere,"LW,RW",186.1181413358207,-58.881858664179305
J.J. Moser,D,167.9175,-52.08250000000001
Juuso Parssinen,C,204.47216981132075,-65.52783018867925
Michael McLeod,C,118.45542036682298,-151.54457963317702
Brett Pesce,D,215.5139649137463,-4.4860350862537075
Evan Bouchard,D,206.5395297731164,-13.460470226883587
Teuvo Teravainen,"LW,RW",282.0457069508879,37.045706950887904
Alex Iafallo,LW,231.8037483339666,-23.19625166603339
Valeri Nichushkin,"LW,RW",286.67108241972346,41.67108241972346
Kyle Okposo,RW,190.68781174014262,-54.31218825985738
Kasperi Kapanen,RW,155.5943743663446,-89.4056256336554
Anton Lundell,C,246.55547598543575,-23.44452401456425
Sean Monahan,C,176.52794532205846,-93.47205467794154
Jacob Trouba,D,239.86551712580183,19.86551712580183
Noah Cates,"C,LW",173.99498777773488,-81.00501222226512
Torey Krug,D,207.10603591575776,-12.893964084242242
Owen Power,D,214.78446002576774,-5.215539974232257
Noah Hanifin,D,233.15707705843428,13.157077058434282
William Carrier,LW,145.2041695615679,-109.79583043843209
Pierre Engvall,"LW,RW",159.57017121743547,-85.42982878256453
Jaccob Slavin,D,208.28543777231422,-11.714562227685775
Alex Newhook,"C,LW",163.42208689618363,-91.57791310381637
T.J. Oshie,"C,RW",219.89442318707103,-25.105576812928973
Jonatan Berggren,"LW,RW",190.63089622641505,-54.36910377358495
Tanner Jeannot,RW,181.2767516164915,-63.72324838350849
Jesperi Kotkaniemi,"C,LW",174.9516539712198,-80.0483460287802
Oliver Wahlstrom,RW,189.65897932594174,-55.34102067405826
Miles Wood,LW,174.00440263967369,-80.99559736032631
Corey Perry,RW,160.99111389033953,-84.00888610966047
Ryan Ellis,D,206.14978385273025,-13.850216147269748
MacKenzie Weegar,D,244.26292626149552,24.262926261495522
Oskar Sundqvist,"C,RW",124.99345008669404,-120.00654991330596
Jesper Fast,RW,142.75852692005392,-102.24147307994608
Mark Giordano,D,216.82027903108124,-3.179720968918758
Kevin Shattenkirk,D,156.26710042806735,-63.73289957193265
Jonas Siegenthaler,D,151.68949438068162,-68.31050561931838
Brayden McNabb,D,172.68040814376172,-47.319591856238276
Nick Jensen,D,161.78338215473357,-58.21661784526643
Scott Mayfield,D,167.92368703682374,-52.076312963176264
Ryan Pulock,D,186.5047369400025,-33.49526305999751
Connor Clifton,D,150.3458764966788,-69.65412350332119
Matt Dumba,D,183.05716155446208,-36.942838445537916
Ty Smith,D,172.975,-47.025000000000006
Josh Manson,D,112.26168934714791,-107.73831065285209
Jake Muzzin,D,185.87004464285712,-34.129955357142876
Alexander Romanov,D,175.85163934426228,-44.14836065573772
Ian Cole,D,161.15003584412008,-58.84996415587992
Ryan Lindgren,D,168.69653055984557,-51.30346944015443
Nikita Zadorov,D,146.53028153217127,-73.46971846782873
Arber Xhekaj,D,163.20685009538062,-56.79314990461938
Travis Sanheim,D,167.0587490583803,-52.9412509416197
Damon Severson,D,183.76584362059697,-36.23415637940303
Colton Parayko,D,202.858009600471,-17.141990399528993
Ryan Graves,D,204.3765439913755,-15.623456008624487
Mattias Ekholm,D,188.46136643174,-31.538633568259996
Ryan Hartman,"C,RW",269.54571466348636,24.545714663486365
Matt Roy,D,169.92330343914472,-50.07669656085528
Matt Grzelcyk,D,188.0897732148618,-31.910226785138207
Kris Letang,D,272.0541377679865,52.054137767986504
Josh Norris,C,285.1293897373147,15.129389737314682
Jake Sanderson,D,187.7340754025061,-32.26592459749389
Josh Anderson,RW,185.48944252899082,-59.51055747100918
Jake Allen,G,181.1100392692038,-8.88996073079619
Frederik Andersen,G,214.00610180499697,24.006101804996973
Craig Anderson,G,167.08779027712035,-22.912209722879652
Jordan Binnington,G,250.58530992887597,60.58530992887597
MacKenzie Blackwood,G,146.30903607488233,-43.69096392511767
Sergei Bobrovsky,G,229.65101663194835,39.65101663194835
Jack Campbell,G,207.58075068358264,17.580750683582636
Eric Comrie,G,121.86096007686648,-68.13903992313352
Pheonix Copley,G,142.58729508196723,-47.41270491803277
Collin Delia,G,151.32142857142858,-38.678571428571416
Aaron Dell,G,151.4896694214876,-38.510330578512395
Thatcher Demko,G,201.86427901008784,11.864279010087841
Casey DeSmith,G,145.7084916678524,-44.2915083321476
Brian Elliott,G,119.18032141778319,-70.81967858221681
Marc-Andre Fleury,G,261.19904299990856,71.19904299990856
Anton Forsberg,G,178.46250497191863,-11.537495028081366
Pavel Francouz,G,132.50011792205288,-57.49988207794712
Alexandar Georgiev,G,280.93484777363636,90.93484777363636
John Gibson,G,217.8762055645798,27.876205564579806
Thomas Greiss,G,119.87622782281005,-70.12377217718995
Philipp Grubauer,G,182.85425373780345,-7.145746262196553
Filip Gustavsson,G,174.08393115948206,-15.916068840517937
Jaroslav Halak,G,92.91993144234777,-97.08006855765223
Carter Hart,G,246.67194533190263,56.671945331902634
Connor Hellebuyck,G,349.03880812274406,159.03880812274406
Adin Hill,G,124.48732151038166,-65.51267848961834
Ville Husso,G,236.2984266304144,46.29842663041441
Connor Ingram,G,119.13375,-70.86625
Robin Lehner,G,157.71864669421487,-32.28135330578513
Tristan Jarry,G,274.12781273950986,84.12781273950986
Jonas Johansson,G,151.23516949152543,-38.764830508474574
Martin Jones,G,200.0712428817504,10.071242881750408
Kaapo Kahkonen,G,131.37116927931362,-58.62883072068638
Erik Kallgren,G,111.23677685950413,-78.76322314049587
Keith Kinkaid,G,151.40625,-38.59375
Spencer Knight,G,161.86780995467268,-28.13219004532732
Pyotr Kochetkov,G,154.94041666666666,-35.059583333333336
Joonas Korpisalo,G,112.20285525983573,-77.79714474016427
Darcy Kuemper,G,261.2340991971544,71.23409919715442
Kevin Lankinen,G,131.7183812453494,-58.281618754650594
Charlie Lindgren,G,151.96138211382114,-38.038617886178855
Ukko-Pekka Luukkonen,G,150.86764705882354,-39.132352941176464
Jacob Markstrom,G,267.16946204019825,77.16946204019825
Spencer Martin,G,147.69789915966388,-42.302100840336124
Elvis Merzlikins,G,176.55165799355527,-13.448342006444733
Sam Montembeault,G,134.69841625088176,-55.30158374911824
Petr Mrazek,G,133.34298093067196,-56.657019069328044
Matt Murray,G,188.9992869632833,-1.0007130367166894
Alex Nedeljkovic,G,143.571909609594,-46.428090390406
Jake Oettinger,G,281.9788957073445,91.97889570734452
Jonathan Quick,G,174.47310349816058,-15.526896501839417
Antti Raanta,G,125.8132251161483,-64.1867748838517
James Reimer,G,183.4235299724406,-6.576470027559395
David Rittich,G,85.7646497904128,-104.2353502095872
Ilya Samsonov,G,197.35825448174205,7.358254481742051
Felix Sandstrom,G,104.05330578512398,-85.94669421487602
Juuse Saros,G,336.47006613100393,146.47006613100393
Akira Schmid,G,119.13375,-70.86625
Igor Shesterkin,G,311.34209158243345,121.34209158243345
Stuart Skinner,G,210.20722995298817,20.207229952988172
Ilya Sorokin,G,274.9437583070664,84.94375830706639
Jeremy Swayman,G,178.53033157327403,-11.469668426725974
Cam Talbot,G,229.34872005499324,39.34872005499324
Daniil Tarasov,G,151.40625,-38.59375
Logan Thompson,G,235.1792831008213,45.179283100821294
Dustin Tokarski,G,151.32142857142858,-38.678571428571416
Linus Ullmark,G,289.06119186005196,99.06119186005196
Vitek Vanecek,G,241.55052656075725,51.55052656075725
Semyon Varlamov,G,163.9188950312501,-26.081104968749912
Andrei Vasilevskiy,G,346.81900420417526,156.81900420417526
Karel Vejmelka,G,217.10787355956143,27.107873559561426
Daniel Vladar,G,104.07263432237676,-85.92736567762324
