Player,RichVal
Connor McDavid,279.4804761904762
Leon Draisaitl,264.80452380952374
Auston Matthews,275.7120000000001
Nathan MacKinnon,206.63011904761902
Kirill Kaprizov,189.6197619047619
Matthew Tkachuk,178.2903750000001
Nikita Kucherov,152.8209523809524
Jonathan Huberdeau,172.92595238095237
Mikko Rantanen,158.25571428571425
Johnny Gaudreau,147.3695238095238
Alex Ovechkin,132.3913428571429
Steven Stamkos,117.78072619047623
Evander Kane,101.82783333333333
Aleksander Barkov,139.41047619047617
David Pastrnak,173.7292857142857
Mitchell Marner,156.6152380952381
Kyle Connor,151.7028571428571
Cale Makar,181.42150000000004
Brady Tkachuk,140.22677678571432
Sebastian Aho,131.5116666666667
Artemi Panarin,128.8072333333334
J.T. Miller,127.41154761904755
Patrick Kane,116.09771428571429
Roman Josi,153.34095238095233
Andrei Svechnikov,138.13471428571438
Kevin Fiala,97.5960714285714
Jake Guentzel,111.78023809523819
Elias Lindholm,109.90999999999991
Timo Meier,82.9733333333333
Gabriel Landeskog,87.10523809523812
Brad Marchand,128.865488095238
Vladimir Tarasenko,94.79213333333337
Mika Zibanejad,120.3261904761905
Sidney Crosby,67.69859523809515
Victor Hedman,147.1173333333333
Nazem Kadri,44.187135714285716
Filip Forsberg,81.96880952380957
Pavel Buchnevich,71.96166666666664
Jason Robertson,104.16475000000003
Alex DeBrincat,114.39700000000005
Patrice Bergeron,75.06114285714284
William Nylander,81.7238095238095
Patrik Laine,76.14100000000002
Sam Reinhart,69.82928571428573
John Tavares,61.23453333333333
Pierre-Luc Dubois,38.443250000000035
Jack Eichel,68.06095238095241
Matt Duchene,57.565685714285735
Jonathan Marchessault,62.681853571428576
Chris Kreider,74.69646666666665
Bryan Rust,59.89006428571429
Evgeny Kuznetsov,21.83246428571431
Joe Pavelski,58.26414285714287
Roope Hintz,44.53690476190479
Kris Letang,92.40229761904754
Ryan Hartman,9.437023809523737
Dylan Larkin,12.91857142857151
Sam Bennett,16.41023809523807
Michael Bunting,28.633333333333383
Brayden Point,42.068214285714305
Mark Scheifele,59.012380952380965
Nikolaj Ehlers,58.57630952380947
Jordan Kyrou,41.73449999999997
Teuvo Teravainen,52.999047619047644
Elias Pettersson,71.707
Adam Fox,126.76325000000003
Evgeni Malkin,-4.91555952380952
Aaron Ekblad,64.84083333333336
John Carlson,100.02039285714284
Claude Giroux,29.393830952380995
Clayton Keller,34.802250000000015
Jack Hughes,28.926678571428567
Morgan Rielly,64.32476190476189
Mats Zuccarello,10.122471428571401
Anze Kopitar,35.56466190476186
David Perron,46.02702142857146
Bo Horvat,24.73464285714283
Jesper Bratt,24.27249999999998
Taylor Hall,24.92161428571427
Tage Thompson,14.555499999999995
Matt Boldy,36.90299999999996
Vincent Trocheck,4.356666666666683
Andrew Mangiapane,14.335714285714289
Trevor Zegras,22.23750000000001
Quinn Hughes,75.99094642857148
Joel Eriksson Ek,-4.810238095238049
Brent Burns,56.15911904761907
Josh Norris,14.720124999999996
Robert Thomas,3.6720000000000255
Tomas Hertl,5.705833333333317
Jeff Skinner,-6.639114285714328
Tyler Seguin,15.117314285714258
Conor Garland,5.214047619047619
Devon Toews,56.221904761904796
Ryan Nugent-Hopkins,23.850238095238126
Ryan Strome,13.779404761904743
Tim Stuetzle,25.07210714285719
Drake Batherson,-0.030000000000001137
Zach Hyman,4.12417857142853
Travis Konecny,5.571666666666687
Blake Wheeler,15.835309523809542
Tyler Toffoli,14.189650000000086
Nick Suzuki,6.127750000000049
Mathew Barzal,-1.0926190476190527
Alex Killorn,-2.985434523809488
Alex Tuch,2.576904761904757
Carter Verhaeghe,4.122261904761899
Shea Theodore,74.04142857142853
Mark Stone,47.80475714285717
Adrian Kempe,-2.494285714285752
Brock Boeser,18.734047619047658
Alex Pietrangelo,73.91392619047622
Darnell Nurse,71.03892857142858
Moritz Seider,96.43700000000007
Sean Couturier,0.12142857142856656
Justin Faulk,37.620039285714256
Valeri Nichushkin,-11.929999999999978
Troy Terry,11.10899999999998
Drew Doughty,11.860023809523796
Brock Nelson,0.15712142857142908
Jakub Voracek,-14.211452380952409
Tyler Bertuzzi,-4.49857142857141
Jamie Benn,-5.742313095238131
Anders Lee,-13.194942857142905
Lucas Raymond,9.534500000000008
Phillip Danault,-20.598571428571404
MacKenzie Weegar,47.620119047619085
Logan Couture,-22.00379880952383
Tony DeAngelo,31.317142857142898
Ryan Johansen,-44.20053571428571
Brayden Schenn,-2.400746428571466
Dougie Hamilton,52.95202380952378
Rasmus Dahlin,39.57269642857142
Anton Lundell,9.867999999999995
Miro Heiskanen,32.56574999999998
Nick Schmaltz,-16.077380952380935
Tanner Jeannot,-24.083333333333343
Cole Caufield,-13.520999999999987
Chandler Stephenson,-2.084880952380928
Evan Bouchard,56.485000000000014
Torey Krug,23.745424999999983
Viktor Arvidsson,-23.021071428571418
Rasmus Andersson,16.522142857142853
Andre Burakovsky,-1.2397619047618775
Jacob Trouba,33.115238095238084
Nino Niederreiter,-13.715119047619055
Oliver Bjorkstrand,-6.632499999999965
Noah Dobson,75.28950000000003
Trevor Moore,-33.87142857142854
Nico Hischier,-26.803499999999957
Dylan Strome,-30.18666666666664
Connor Brown,-13.711190476190495
Ondrej Palat,10.7662642857143
Cam Atkinson,-16.94191428571432
Andrew Copp,-6.046666666666653
Jakub Vrana,-9.224761904761948
Jared McCann,-22.400476190476155
Mikael Backlund,-44.045547619047625
Reilly Smith,-4.986992857142866
Mason Marchment,-51.85666666666668
Zach Werenski,16.492261904761932
Mikael Granlund,-44.79972142857147
Yanni Gourde,-41.51245000000003
Jack Roslovic,-59.73309523809522
Jeff Carter,-50.54858333333334
Blake Coleman,-19.80518214285712
Yegor Sharangovich,-28.650749999999988
Rickard Rakell,-33.68523809523808
Tyson Barrie,20.610307142857152
Victor Olofsson,-32.70000000000002
Marcus Foligno,-53.274960714285726
Paul Stastny,-46.41342857142857
Gustav Nyquist,-44.15627619047618
Thomas Chabot,9.644047619047598
Nicolas Roy,-48.27666666666667
Craig Smith,-32.85106904761906
Noah Hanifin,-4.361428571428547
Brandon Saad,-40.58857142857141
Anthony Mantha,-54.11511904761903
Mike Hoffman,-31.321328571428552
