Player,RichVal,RichValRank,RotoWireRank,DifferenceRoto,DomRank,DifferenceDom,DynastyRank,Difference Dynasty,,,,50
Trevor Zegras,63.28789472,75,101,TRUE,120,TRUE,52,TRUE,,,,
Jack Campbell,62.83112266,76,10,FALSE,68,TRUE,#N/A,#N/A,,,,
Philipp Grubauer,61.92042438,77,23,FALSE,99,TRUE,205,FALSE,,,,
Tim Stuetzle,61.67460548,78,116,TRUE,89,TRUE,#N/A,#N/A,,,,
Mark Stone,60.77038906,79,128,TRUE,129,FALSE,38,TRUE,,,,
John Gibson,60.51392773,80,19,FALSE,65,TRUE,146,FALSE,,,,
Teuvo Teravainen,59.80002046,81,78,TRUE,134,FALSE,58,TRUE,,,,
Alex Pietrangelo,59.32994398,82,131,TRUE,66,TRUE,133,FALSE,,,,
Darnell Nurse,59.08910756,83,132,TRUE,80,TRUE,108,TRUE,,,,
Elvis Merzlikins,58.74521765,84,16,FALSE,57,TRUE,#N/A,#N/A,,,,
David Perron,57.49648875,85,92,TRUE,106,TRUE,124,TRUE,,,,
Jeremy Swayman,55.99501107,86,32,FALSE,92,TRUE,#N/A,#N/A,,,,
Jonathan Marchessault,55.5851574,87,60,TRUE,94,TRUE,99,TRUE,,,,
Owen Power,55.47926711,88,#N/A,#N/A,110,TRUE,91,TRUE,,,,
Cole Caufield,55.28783757,89,163,FALSE,97,TRUE,53,TRUE,,,,
Lucas Raymond,53.81644459,90,147,FALSE,124,TRUE,135,TRUE,,,,
Bryan Rust,53.43970722,91,62,TRUE,88,TRUE,94,TRUE,,,,
Vladimir Tarasenko,53.34760678,92,37,FALSE,90,TRUE,59,TRUE,,,,
Aaron Ekblad,52.363856,93,83,TRUE,35,FALSE,71,TRUE,,,,
Brayden Point,50.2638729,94,73,TRUE,84,TRUE,16,FALSE,,,,
Joe Pavelski,49.84777077,95,65,TRUE,86,TRUE,247,FALSE,,,,
Jakob Chychrun,49.24874293,96,#N/A,#N/A,95,TRUE,49,TRUE,,,,
Rasmus Dahlin,48.83410955,97,157,FALSE,69,TRUE,55,TRUE,,,,
Patrik Laine,48.77977641,98,52,TRUE,125,TRUE,80,TRUE,,,,
