Rank,Name,,,,
185,Evan Bouchard,,,,
186,Anton Forsberg,,,,
187,T.J. Oshie,,,,
188,Bryan Rust,,,,
189,Cole Perfetti,,,,
190,Alex Iafallo,,,,
191,Calle Jarnkrok,,,,
192,Evan Rodrigues,,,,
193,Frederick Gaudreau,,,,
194,Ryan Hartman,,,,
195,Gabriel Vilardi,,,,
196,Alexander Barabanov,,,,
197,Daniel Sprong,,,,
198,Eeli Tolvanen,,,,
199,Brett Pesce,,,,
200,Brandon Saad,,,,
201,Valeri Nichushkin,,,,
202,Mark Stone,,,,
203,Patrick Kane,,,,
204,Vladimir Tarasenko,,,,
205,Cam Talbot,,,,
206,Nicholas Paul,,,,
207,Lawson Crouse,,,,
208,Spencer Knight,,,,
209,Dominik Kubalik,,,,
210,Teuvo Teravainen,,,,
211,Craig Anderson,,,,
212,Michael Rasmussen,,,,
213,Jacob Trouba,,,,
214,Michael Amadio,,,,
215,Calen Addison,,,,
216,Tony DeAngelo,,,,
217,Alexander Romanov,,,,
