Player,RichVal
Jonathan Toews,-54.23188181781799
Brayden Schenn,-22.65804304819659
Braden Holtby,2.2250191376975863
Joonas Korpisalo,0.19375695273336646
Jack Hughes,18.76728419740266
Shayne Gostisbehere,-28.737400111944453
James Van Riemsdyk,-36.10906159054207
Drake Batherson,-6.258382383742827
Blake Coleman,-23.491447808362636
Pierre-Luc Dubois,-4.769149750924157
Aaron Dell,-6.1570898738043525
Ilya Sorokin,26.989173075112177
Casey DeSmith,-6.6363890378700034
Jamie Benn,-27.281383638527444
Jordan Eberle,-32.69905744380105
James Reimer,0.21771374859829962
Alex Goligoski,-46.24342209710659
Patrik Laine,0.5348727612395692
Anthony Mantha,-32.751747425993784
Victor Olofsson,-34.944643932589685
Jamie Drysdale,28.97602888837548
Filip Hronek,-27.759644176843494
Jack Eichel,83.35680000000002
Moritz Seider,15.827883030523196
Andrew Mangiapane,-14.404543178121543
Logan Couture,-42.55103403251189
Nico Hischier,15.621053632485086
Viktor Arvidsson,-25.751372496683956
Nick Leddy,-41.25282989848483
Oliver Ekman-Larsson,-47.06843638016713
Teuvo Teravainen,-13.195115755018548
Ondrej Palat,-7.140340253288372
Tyler Myers,-38.14419988775953
Evgeny Kuznetsov,-21.39558655370746
Jakub Voracek,-45.08405190433956
Esa Lindell,-35.9561691997863
Joel Farabee,5.887988254308084
Reilly Smith,-39.98369879225905
Jeremy Swayman,32.43942543920957
Kaapo Kahkonen,-4.881886682073741
Carter Verhaeghe,-8.040320317145813
Jonathan Quick,-6.389089776719061
Trevor Zegras,17.89516296000886
Noah Dobson,8.997515937869593
Oliver Wahlstrom,-2.597787960919817
Sean Walker,-51.54457148012892
Tom Wilson,-11.790599364529356
