Player,Position,PreVORP,RichVal
Connor McDavid,C,611.6338369882948,331.6338369882948
Leon Draisaitl,"C,LW",514.172306419949,257.172306419949
Nikita Kucherov,RW,423.78247497575256,171.78247497575256
David Pastrnak,RW,457.59062702327935,205.59062702327935
Erik Karlsson,D,278.1936331887029,62.193633188702904
Jason Robertson,LW,399.7316260149902,142.73162601499018
Tage Thompson,"C,RW",383.60514219949926,131.60514219949926
Mikko Rantanen,"C,RW",459.7185118603294,207.7185118603294
Matthew Tkachuk,RW,461.48456053502775,209.48456053502775
Jack Hughes,"C,LW",395.2582106555114,138.2582106555114
Kyle Connor,LW,386.3943333315378,129.39433333153778
Mitch Marner,RW,419.60852534531233,167.60852534531233
Ryan Nugent-Hopkins,"C,LW",320.06630698499805,63.06630698499805
Alex Ovechkin,LW,355.97320547761194,98.97320547761194
Kirill Kaprizov,LW,417.85882530862983,160.85882530862983
Sidney Crosby,C,392.10425989987044,112.10425989987044
Steven Stamkos,"C,LW",340.9943330744087,83.9943330744087
Elias Pettersson,"C,LW",396.8602572524054,139.8602572524054
William Nylander,"LW,RW",376.2527495647001,124.25274956470008
Zach Hyman,"LW,RW",314.15268498512694,62.15268498512694
Bo Horvat,C,330.2440187844342,50.24401878443422
Auston Matthews,C,514.6492358049819,234.6492358049819
Pierre-Luc Dubois,C,297.13676833915304,17.136768339153036
Nathan MacKinnon,C,492.3408465750549,212.3408465750549
Josh Morrissey,D,278.52543479692775,62.525434796927755
Travis Konecny,"C,RW",286.3622877616977,34.3622877616977
Rasmus Dahlin,D,366.9957116665852,150.99571166658518
Brayden Point,C,355.48108664592365,75.48108664592365
Alex Tuch,RW,308.6989144811629,56.69891448116289
Kevin Fiala,"LW,RW",341.97994949452817,89.97994949452817
Artemi Panarin,LW,350.0173700384487,93.01737003844869
Timo Meier,"LW,RW",344.7578896269645,92.75788962696453
Mika Zibanejad,C,400.7556254140485,120.7556254140485
Brady Tkachuk,LW,368.9420329608238,111.94203296082378
John Tavares,"C,LW",353.6699877123547,96.66998771235473
Jesper Bratt,RW,300.6750111026089,48.67501110260889
Adam Fox,D,358.1724027034461,142.1724027034461
Roope Hintz,C,351.8789825144533,71.8789825144533
Mats Zuccarello,RW,305.97911675979344,53.97911675979344
Evgeni Malkin,C,330.357338698138,50.357338698137994
Joe Pavelski,"C,RW",331.8390456221346,79.83904562213462
Nico Hischier,C,330.08950913935405,50.08950913935405
Jeff Skinner,LW,295.1588001458786,38.158800145878615
Cale Makar,D,406.2277113334455,190.22771133344548
Jordan Kyrou,"LW,RW",306.7920901205402,54.792090120540195
Tim Stutzle,"C,LW",344.14306998227545,87.14306998227545
Brad Marchand,LW,371.6129469387685,114.61294693876852
Tomas Hertl,C,279.9309053651718,-0.0690946348282182
Elias Lindholm,C,339.57874831769817,59.57874831769817
Johnny Gaudreau,LW,346.93736101382393,89.93736101382393
Mathew Barzal,"C,RW",276.53966786342176,24.539667863421755
Jamie Benn,"C,LW",285.4917539558422,28.491753955842228
J.T. Miller,"C,LW,RW",362.2438509311966,110.24385093119662
Dylan Larkin,C,299.47047664760305,19.47047664760305
Drake Batherson,RW,269.15004117642724,17.150041176427237
Dylan Cozens,C,281.5244873094891,1.524487309489075
Kevin Hayes,"C,LW",225.55094998012493,-31.449050019875074
Chandler Stephenson,"C,LW,RW",266.05821044405747,14.058210444057465
Robert Thomas,"C,RW",254.78414793141943,2.784147931419426
Quinn Hughes,D,296.24795690841995,80.24795690841995
Mark Scheifele,C,326.30880058162074,46.308800581620744
Filip Forsberg,LW,287.2653941124733,30.265394112473302
Jake Guentzel,LW,377.88546516685693,120.88546516685693
Andrei Kuzmenko,"LW,RW",227.83452138918295,-24.165478610817047
Martin Necas,RW,313.9805353984356,61.98053539843562
Alex DeBrincat,LW,354.0520176407923,97.05201764079231
Claude Giroux,"C,RW",291.2609248823392,39.260924882339225
Brock Nelson,C,301.0980587625404,21.098058762540404
Brandon Hagel,"LW,RW",253.75445156345134,1.7544515634513402
Mark Stone,RW,266.9420325003928,14.942032500392827
Tyler Toffoli,"LW,RW",297.39244753076207,45.39244753076207
Clayton Keller,"LW,RW",304.0690179695362,52.06901796953622
